,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
137,"Say You Won't Let Go","James Arthur",715423,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
138,"Si Supieras","Daddy Yankee",713621,https://open.spotify.com/track/7MRU4vOkywuhZ9kbFiPuiu
139,"Don't Stop Me Now - 2011 Mix",Queen,711693,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
140,"Go Loko (feat. Tyga, Jon Z)",YG,708226,https://open.spotify.com/track/1kK6DwzyXJSp58u5HYWwuD
141,"Be Alright","Dean Lewis",706544,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
142,EARFQUAKE,"Tyler, The Creator",705531,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0
143,"i'm so tired...",Lauv,705124,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
144,"MIDDLE CHILD","J. Cole",702173,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
145,"La Boca - Remix","Mau y Ricky",702032,https://open.spotify.com/track/2EEmzqzM70CybVspgM7YRT
146,Bellacoso,Residente,700615,https://open.spotify.com/track/1kMUGCt7XLDc5Q64Vl0H8S
147,"Mad Love",Mabel,700478,https://open.spotify.com/track/0Zp10WiPeEi6EUJZvWcNT9
148,"Won't Be Late (feat. Drake)","Swae Lee",700061,https://open.spotify.com/track/2sqsNXfN0HtgDEgaHXiUTa
149,"I Like Me Better",Lauv,699113,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
150,"All Around The World (La La La)",R3HAB,695794,https://open.spotify.com/track/02itaCXOdC54J0ISjqqFAp
151,Roller,"Apache 207",695023,https://open.spotify.com/track/5dhQeuLGmlhfwlI6BWfSpo
152,"Cross Me (feat. Chance the Rapper & PnB Rock)","Ed Sheeran",691344,https://open.spotify.com/track/4wuCQX7JvAZLlrcmH4AeZF
153,"Antisocial (with Travis Scott)","Ed Sheeran",688576,https://open.spotify.com/track/1DhRbox3xkceP64k3JeYfW
154,"BUTTERFLY EFFECT","Travis Scott",683206,https://open.spotzify.com/track/6xcJyGpfZbuuiequtnlKt4
155,"break up with your girlfriend, i'm bored","Ariana Grande",678326,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
156,"I Warned Myself","Charlie Puth",677827,https://open.spotify.com/track/3707IBa4HnS3zDDoWfeUBl
157,"Be Honest (feat. Burna Boy)","Jorja Smith",677325,https://open.spotify.com/track/5pAbCxt9e3f81lOmjIXwzd
158,"Death By A Thousand Cuts","Taylor Swift",675674,https://open.spotify.com/track/2dgFqt3w9xIQRjhPtwNk3D
159,"Another One Bites The Dust - Remastered 2011",Queen,675027,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
160,"Mariners Apartment Complex","Lana Del Rey",672815,https://open.spotify.com/track/6OG05bPAwUuV3OMvy2Vy1P
161,2002,Anne-Marie,671542,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
162,"Rebota - Remix",Guaynaa,671234,https://open.spotify.com/track/3dWpRjCmaHbroNahuSeX11
163,"Bezerk (feat. A$AP Ferg)","Big Sean",665784,https://open.spotify.com/track/2B9wgj9XzbJZLty03PRbVo
164,"MIA (feat. Drake)","Bad Bunny",665402,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
165,"Love song","Lana Del Rey",658961,https://open.spotify.com/track/5tyMJlMqaggzvuX7TtlrTe
166,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",658341,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
167,Ritual,Tiësto,657169,https://open.spotify.com/track/3M9Apu4OZfylLTFKvgEtKa
168,"Going Bad (feat. Drake)","Meek Mill",655611,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
169,Moonlight,XXXTENTACION,649880,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
170,Thunder,"Imagine Dragons",649734,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
171,"Venice Bitch","Lana Del Rey",639234,https://open.spotify.com/track/3hwQhakFwm9soLEBnSDH17
172,"In My Mind",Dynoro,633000,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
173,"Hate Me (with Juice WRLD)","Ellie Goulding",632462,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
174,"Here With Me",Marshmello,628474,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
175,"So Am I","Ava Max",627963,https://open.spotify.com/track/0uUNN1nSoUx1A4fkDCWDQ7
176,"Que Mas Pues - Remix",Sech,625814,https://open.spotify.com/track/7fODjB7BrQTGqh0hogW6XD
177,"Jocelyn Flores",XXXTENTACION,618850,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
178,Africa,TOTO,618573,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
